wavelength_nm,mean,std,min,max,n_pixels,class_name
1340.06,0.01523711949114037,0.002422190719310803,0.01,0.0806,2201,water
1345.5,0.014779918218991408,0.002346445317852614,0.0097,0.0779,2201,water
1350.94,0.014309859154929576,0.0022701577895037524,0.0093,0.0751,2201,water
1356.38,0.013838346206269865,0.0021954750552599226,0.009,0.0723,2201,water
1361.82,0.013369014084507034,0.0021231052259028725,0.0087,0.0696,2201,water
1367.26,0.012911131303952762,0.002054225941703982,0.0084,0.0669,2201,water
1372.7,0.01247105860972282,0.001991745058695028,0.0081,0.0643,2201,water
1378.14,0.01204638800545207,0.001935020998787085,0.0078,0.0618,2201,water
1383.58,0.01163870967741936,0.0018831697088931387,0.0075,0.0594,2201,water
1389.02,0.011246115402089963,0.0018357323639710801,0.0072,0.0571,2201,water
1394.46,0.010862562471603825,0.001794478291829,0.0068,0.0549,2201,water
1399.9,0.010485870059064064,0.0017554759208152717,0.0065,0.0527,2201,water
1405.34,0.010109586551567483,0.001718031077579258,0.0062,0.0504,2201,water
1410.78,0.00973730122671515,0.001684837133926477,0.0059,0.0482,2201,water
1416.22,0.00936333484779644,0.0016532902624514835,0.0056,0.046,2201,water
1421.66,0.008989913675602005,0.001626023605385845,0.0053,0.0438,2201,water
1427.1,0.00862180826896867,0.0016031606854032127,0.005,0.0417,2201,water
1432.54,0.008256247160381628,0.0015822476247909837,0.0047,0.0395,2201,water
1437.98,0.007893593820990464,0.0015662171672356368,0.0044,0.0389,2201,water
1443.43,0.007538573375738298,0.0015558854714218943,0.0041,0.0403,2201,water
1448.87,0.0071913675601999105,0.0015505037280661995,0.0038,0.0417,2201,water
1454.31,0.006847932757837341,0.001548989860587767,0.0034,0.0431,2201,water
1459.75,0.006506042707860072,0.0015526238249529624,0.0029,0.0446,2201,water
1465.19,0.006163334847796455,0.0015616382892534198,0.0024,0.0462,2201,water
1470.63,0.005816129032258055,0.0015728227981092473,0.0019,0.0478,2201,water
1476.07,0.0054601544752385265,0.001588738142431744,0.0014,0.0494,2201,water
1481.51,0.0050931849159472995,0.0016047624822468011,0.0009,0.0509,2201,water
1486.95,0.004711176737846435,0.0016217365905732274,0.0004,0.0523,2201,water
1492.39,0.004331076783280325,0.0016419935704701427,0.0,0.0537,2201,water
1497.83,0.004411267605633801,0.0009751737755116178,0.0015,0.0183,2201,water
1503.27,0.00509391185824626,0.002153839955531905,0.0,0.0683,2201,water
1508.71,0.004747024079963646,0.0008428423253070422,0.0023,0.0204,2201,water
1514.15,0.00532971376646978,0.0008820680038906706,0.0033,0.0238,2201,water
1519.59,0.00535633802816901,0.0008884240604236045,0.0032,0.0258,2201,water
1525.03,0.005604861426624264,0.0008814548879126225,0.0025,0.0268,2201,water
1530.47,0.005638936846887771,0.0008892727141326113,0.0037,0.0279,2201,water
1535.91,0.005843025897319409,0.0009353500675546451,0.0039,0.0302,2201,water
1541.35,0.005997728305315761,0.0009598221050909236,0.0041,0.0318,2201,water
1546.8,0.006051203998182631,0.0009698639336161864,0.004,0.0324,2201,water
1552.24,0.006102635165833705,0.0009974797140881355,0.0043,0.0333,2201,water
1557.68,0.0062051794638800515,0.0010272737428641287,0.0045,0.0345,2201,water
1563.12,0.0061379373012267245,0.0010172919120138998,0.0026,0.0341,2201,water
1568.56,0.006509904588823256,0.0011272621861603959,0.0044,0.0376,2201,water
1574.0,0.006265333939118578,0.0011192783753900518,0.0032,0.0368,2201,water
1579.44,0.006066787823716485,0.0010952588299147448,0.0037,0.0366,2201,water
1584.88,0.006170786006360733,0.0011054393491460538,0.0037,0.0371,2201,water
1590.32,0.006245479327578375,0.0011214636376607062,0.0043,0.0388,2201,water
1595.76,0.006276010904134487,0.0011386462008851285,0.0043,0.0402,2201,water
1601.2,0.006476328941390279,0.001203966312169609,0.0046,0.0414,2201,water
1606.64,0.006409450249886403,0.0012499206219891746,0.0035,0.0417,2201,water
1612.08,0.006520172648795995,0.0012559755958821699,0.0042,0.0428,2201,water
1617.52,0.006338573375738311,0.0012093189519123825,0.0043,0.041,2201,water
1622.96,0.006465697410268066,0.0012265954646306098,0.0043,0.0425,2201,water
1628.4,0.006680417991821908,0.0012498629043814656,0.0045,0.0438,2201,water
1633.84,0.006676283507496584,0.0012722781998324036,0.0034,0.0443,2201,water
1639.28,0.00672012721490231,0.0012851526906770517,0.0033,0.0445,2201,water
1644.72,0.006633621081326675,0.0012943745488532337,0.0044,0.0449,2201,water
1650.17,0.0066338028169014105,0.001285836316181125,0.0047,0.0443,2201,water
1655.61,0.006639663789186729,0.0013194811912958955,0.0045,0.0459,2201,water
1661.05,0.006742071785552031,0.001310253992146332,0.0044,0.0454,2201,water
1666.49,0.0066960472512494484,0.0013189140869197635,0.0044,0.046,2201,water
1671.93,0.006675829168559746,0.0013156460756061634,0.0043,0.0449,2201,water
1677.37,0.006809995456610642,0.0013306150491672103,0.0045,0.0457,2201,water
1682.81,0.0068052703316674205,0.001350652849576601,0.0047,0.0458,2201,water
1688.25,0.006713539300318035,0.0013401147387868968,0.0042,0.0462,2201,water
1693.69,0.0066759654702407845,0.0013298083548486737,0.0044,0.0455,2201,water
1699.13,0.006602044525215803,0.0013841309711473584,0.0039,0.0472,2201,water
1704.57,0.00661231258518854,0.0013305119194132137,0.004,0.0443,2201,water
1710.01,0.006433439345751918,0.0013532988086612406,0.0032,0.0446,2201,water
1715.45,0.006575829168559748,0.002200193598069308,0.0041,0.0442,2201,water
1720.89,0.00645892776010904,0.0013618481876268966,0.0041,0.0441,2201,water
1726.33,0.006282099045888229,0.001336197913757879,0.0036,0.0427,2201,water
1731.77,0.006208359836437986,0.0013536056527608613,0.0026,0.0423,2201,water
1737.21,0.006451249432076331,0.0013769695091464423,0.0038,0.0418,2201,water
1742.65,0.006248750567923663,0.0013201823331477208,0.0034,0.0406,2201,water
1748.09,0.006255611085870068,0.0013504802517975707,0.0031,0.0394,2201,water
1753.54,0.006251476601544748,0.0013614827647299883,0.0032,0.0405,2201,water
1758.98,0.006124170831440257,0.001383308634425477,0.0025,0.039,2201,water
1764.42,0.006194593366651518,0.0014675467564276888,0.0026,0.0403,2201,water
1769.86,0.005621853702862341,0.001377814283053931,0.0025,0.0343,2201,water
1775.3,0.005769604725124944,0.0016410468604620076,0.0013,0.0359,2201,water
1780.74,0.005711040436165374,0.001607782453256827,0.0013,0.0353,2201,water
1786.18,0.0056534302589732075,0.001582747410150628,0.0014,0.0346,2201,water
1791.62,0.0055915492957746595,0.0015671576495654637,0.0014,0.0339,2201,water
1797.06,0.005529895502044515,0.0015603806173153387,0.0015,0.0331,2201,water
1802.5,0.005466969559291243,0.0015645168709628827,0.0015,0.0324,2201,water
1807.94,0.005402771467514763,0.0015774883797365071,0.0016,0.0316,2201,water
1813.38,0.005340299863698312,0.0015973408872375647,0.0015,0.0308,2201,water
1818.82,0.005275193094048162,0.0016275756570789345,0.0015,0.0301,2201,water
1824.26,0.005212039981826438,0.0016661020022907024,0.0014,0.0293,2201,water
1829.7,0.005149886415265786,0.001711400605512102,0.0013,0.0286,2201,water
1835.14,0.005088414357110406,0.0017642014116753828,0.0013,0.0279,2201,water
1840.58,0.0050258518855065965,0.0018255085253796929,0.0012,0.0272,2201,water
1846.02,0.004966833257610179,0.0018918411940614813,0.0012,0.0265,2201,water
1851.46,0.004908496138119033,0.0019640971928155644,0.0011,0.0259,2201,water
1856.91,0.0048492957746478745,0.0020429169662798227,0.0011,0.0253,2201,water
1862.35,0.00479086778736938,0.002127632747971123,0.001,0.0247,2201,water
1867.79,0.004733530213539306,0.0022142580811886988,0.001,0.0241,2201,water
1873.23,0.004676056338028182,0.0023060245375393727,0.0009,0.0235,2201,water
1878.67,0.004618809631985457,0.0024015545421129927,0.0008,0.0229,2201,water
1884.11,0.004560290776919572,0.0024974031434401808,0.0008,0.0223,2201,water
1889.55,0.004502680599727405,0.0025978167568225445,0.0007,0.0217,2201,water
1894.99,0.004445797364834166,0.0026983011175068104,0.0007,0.0216,2201,water
1900.43,0.004389413902771459,0.002802737569521384,0.0006,0.0223,2201,water
1905.87,0.00433289413902772,0.0029095140537971106,0.0006,0.023,2201,water
1911.31,0.004277555656519769,0.003017926082701649,0.0005,0.0237,2201,water
1916.75,0.004220127214902321,0.0031301189611709214,0.0005,0.0244,2201,water
1922.19,0.004166242616992275,0.0032442874148572503,0.0004,0.0251,2201,water
1927.63,0.00411013175829168,0.003363214375738978,0.0004,0.0258,2201,water
1933.07,0.004056974102680599,0.003486096765433423,0.0003,0.0266,2201,water
1938.51,0.004004679691049529,0.0036134849584691544,0.0002,0.0273,2201,water
1943.95,0.003953657428441621,0.0037429626730281864,0.0002,0.0281,2201,water
1949.39,0.0039023171285779232,0.0038773080037246693,0.0001,0.0289,2201,water
1954.83,0.003851658337119494,0.0040155083707969835,0.0001,0.0298,2201,water
1960.28,0.003800817810086321,0.004155043951629582,0.0,0.0306,2201,water
1965.72,0.003750613357564742,0.004296856233021749,0.0,0.0315,2201,water
1971.16,0.0036994547932757806,0.004436996288735301,0.0,0.0323,2201,water
1976.6,0.0036479781917310356,0.0045757867432305215,0.0,0.0331,2201,water
1982.04,0.003594411631076784,0.00471060511761697,0.0,0.0339,2201,water
1987.48,0.003539345751930945,0.004837869208738056,0.0,0.0347,2201,water
1992.92,0.003484734211721949,0.00496570086005966,0.0,0.0354,2201,water
1998.36,0.010773284870513395,0.01354568078007266,0.0,0.0335,2201,water
2003.8,0.023408087233075883,0.023828918031814476,0.0,0.0534,2201,water
