wavelength_nm,mean,std,min,max,n_pixels,class_name
689.03,0.030269633561294265,0.010376397675285379,0.0094,0.0981,29391,forest
692.23,0.0383276343098227,0.01317261614516949,0.0112,0.1051,29391,forest
695.43,0.046388309346398274,0.01606533371474621,0.0129,0.112,29391,forest
698.62,0.05444389098703729,0.019008150148097685,0.0141,0.119,29391,forest
701.82,0.06250900956075023,0.021985658131292985,0.0152,0.133,29391,forest
705.02,0.07056703412609269,0.024980628363705116,0.0163,0.1522,29391,forest
708.21,0.07862245245143136,0.027988252635608894,0.0175,0.1715,29391,forest
711.41,0.0866854377190298,0.031007775011631423,0.0186,0.1908,29391,forest
714.61,0.09474341465074324,0.034033080030107105,0.0197,0.2101,29391,forest
717.8,0.10280175223707991,0.03706331158518366,0.0209,0.2294,29391,forest
721.0,0.11086700010207158,0.04010080294519333,0.022,0.2488,29391,forest
724.2,0.11892241842740953,0.04313785064773445,0.0231,0.2681,29391,forest
727.39,0.12698048041917684,0.04617835307816632,0.0242,0.2874,29391,forest
730.59,0.135040696131469,0.04922192642801274,0.0254,0.3067,29391,forest
733.79,0.14310134394882962,0.052266869070960474,0.0265,0.3261,29391,forest
736.98,0.15115896022591796,0.05531281589135912,0.0276,0.3454,29391,forest
740.18,0.159220200061245,0.058361032072379915,0.0288,0.3647,29391,forest
743.38,0.16935984485046315,0.06151568219403604,0.0309,0.391,29391,forest
746.57,0.17929469225273068,0.06466817257980073,0.0336,0.4135,29391,forest
749.77,0.18543199618931017,0.06649779781580202,0.0342,0.4325,29391,forest
752.97,0.18822667143002958,0.0672840871570806,0.0354,0.4379,29391,forest
756.16,0.19102074784797993,0.06807396605886426,0.0365,0.4433,29391,forest
759.36,0.19381540607669145,0.06886861481327321,0.0377,0.4487,29391,forest
762.56,0.19660934980095757,0.06966684182817626,0.0384,0.4542,29391,forest
765.75,0.19940362015582805,0.0704689071261123,0.0391,0.4596,29391,forest
768.95,0.20219916300908297,0.07127500244433736,0.0398,0.4654,29391,forest
772.15,0.20499305569732326,0.0720846470383346,0.0405,0.4717,29391,forest
775.34,0.20893654860331243,0.07327612964596902,0.0408,0.4839,29391,forest
778.54,0.21090378006873026,0.07372357352962941,0.0407,0.4815,29391,forest
781.74,0.21034987581232292,0.07345500300445634,0.0416,0.4789,29391,forest
784.93,0.2116773161852281,0.07380469664533927,0.0425,0.4838,29391,forest
788.13,0.21308934027423396,0.07415576604447088,0.0409,0.4875,29391,forest
791.33,0.2141866659861857,0.07441356687568215,0.0414,0.489,29391,forest
794.52,0.215282967575107,0.0746722464396826,0.0419,0.4904,29391,forest
797.72,0.21637975230512793,0.07493261767015463,0.0425,0.4919,29391,forest
800.92,0.21747642815827986,0.07519325773742842,0.043,0.4933,29391,forest
804.11,0.21857231805654695,0.07545535185646284,0.0435,0.4948,29391,forest
807.31,0.21966873192473918,0.07571815042869802,0.0441,0.4962,29391,forest
810.51,0.22076562553162618,0.07598196782494983,0.0446,0.4979,29391,forest
813.7,0.22186199516858973,0.07624683145901916,0.0451,0.5003,29391,forest
816.9,0.22295866761933925,0.0765127443721532,0.0457,0.5027,29391,forest
820.1,0.22405518355959408,0.07677924514778625,0.0462,0.5051,29391,forest
823.29,0.225151641659011,0.07704701037262454,0.0467,0.5075,29391,forest
826.49,0.2262480555272011,0.07731563026168725,0.0473,0.5099,29391,forest
829.68,0.22734406110714264,0.07758532108811086,0.0478,0.5123,29391,forest
832.88,0.22844155693919868,0.07785622142628683,0.0482,0.5147,29391,forest
836.08,0.22953734136300283,0.07812697044110072,0.0485,0.5171,29391,forest
839.28,0.23063474533020387,0.07839948768895161,0.0488,0.5195,29391,forest
842.47,0.23173091762784406,0.07867298455406521,0.0491,0.5219,29391,forest
845.67,0.23203726310775327,0.07868671166747275,0.0482,0.5184,29391,forest
848.86,0.2359597665952157,0.07997323883252233,0.049,0.5298,29391,forest
852.06,0.23322398353237256,0.07898079650913273,0.0495,0.5135,29391,forest
855.26,0.23391719914259396,0.07907560096156249,0.0505,0.5254,29391,forest
858.46,0.2296859072505196,0.07776883396317068,0.0489,0.517,29391,forest
861.65,0.23407822122418404,0.07905749645550177,0.0486,0.5195,29391,forest
864.85,0.24341612058113066,0.08222849479538094,0.0523,0.553,29391,forest
868.04,0.2379713755911676,0.08025322543165454,0.0514,0.5285,29391,forest
871.24,0.23153440849239473,0.07802988459462186,0.0489,0.5158,29391,forest
874.44,0.23509767956177088,0.0791816994757814,0.0504,0.5167,29391,forest
877.63,0.23555473444251562,0.07928162512825553,0.0506,0.519,29391,forest
880.83,0.23827198121874038,0.08012787977944658,0.0518,0.5356,29391,forest
884.03,0.24030670953693362,0.08082071992715302,0.0521,0.5334,29391,forest
887.22,0.24268070497771388,0.08160213285625036,0.0547,0.539,29391,forest
890.42,0.24108805756864343,0.0811558370711444,0.0527,0.5392,29391,forest
893.62,0.24623346602701665,0.08328296287660457,0.0527,0.5423,29391,forest
896.81,0.2466255316253264,0.08342836001555437,0.0527,0.5433,29391,forest
900.01,0.24636823857643372,0.08301222054291899,0.053,0.5416,29391,forest
903.21,0.24628204212173807,0.0826745604521869,0.0534,0.5403,29391,forest
