wavelength_nm,mean,std,min,max,n_pixels,class_name
816.9,0.26547393483709214,0.06024908047809235,0.0482,0.6206,15561,green areas
820.1,0.26698198059250833,0.06042519931746307,0.0484,0.6232,15561,green areas
823.29,0.26849013559539736,0.06060303602386088,0.0485,0.6258,15561,green areas
826.49,0.26999769937664747,0.060782104594384594,0.0486,0.6284,15561,green areas
829.68,0.27150545594756176,0.06096285985686199,0.0487,0.631,15561,green areas
832.88,0.2730141122035858,0.0611453787352625,0.0489,0.6336,15561,green areas
836.08,0.2745221322537112,0.061329025049105104,0.049,0.6362,15561,green areas
839.28,0.2760304671936272,0.06151471184072368,0.0491,0.6388,15561,green areas
842.47,0.27753856435961644,0.061701321907739005,0.0492,0.6414,15561,green areas
845.67,0.27797090161300697,0.06160558188007126,0.0526,0.6311,15561,green areas
848.86,0.2833364436732869,0.0626631029751365,0.0521,0.6506,15561,green areas
852.06,0.2810913951545533,0.06205053343113268,0.0489,0.6482,15561,green areas
855.26,0.28038649829702716,0.06165051996045215,0.0528,0.639,15561,green areas
858.46,0.2773633828160171,0.060954709995731875,0.0478,0.6325,15561,green areas
861.65,0.282697924297925,0.061860240834293305,0.0514,0.6468,15561,green areas
864.85,0.29494936700726126,0.06446686834456787,0.0553,0.6639,15561,green areas
868.04,0.28658069532806596,0.06225403871892385,0.0545,0.6519,15561,green areas
871.24,0.279696934644303,0.06061111510294147,0.0497,0.633,15561,green areas
874.44,0.2845379859906181,0.061567157156967964,0.0525,0.6486,15561,green areas
877.63,0.28604252940042424,0.06160443776896684,0.0531,0.6468,15561,green areas
880.83,0.28985086434033824,0.062278825132021,0.0529,0.6665,15561,green areas
884.03,0.2929468093310201,0.06271446760966082,0.0524,0.6586,15561,green areas
887.22,0.29596368485316005,0.06322954229257804,0.0534,0.6683,15561,green areas
890.42,0.2952097808624125,0.06304868309741501,0.0525,0.6611,15561,green areas
893.62,0.30390857271383603,0.06514814763192762,0.0514,0.6723,15561,green areas
896.81,0.30404308849045575,0.0653811554334095,0.0514,0.6738,15561,green areas
900.01,0.30379994858942244,0.06503560896277757,0.0513,0.6704,15561,green areas
903.21,0.30361535248377425,0.06480264355697565,0.0512,0.6677,15561,green areas
906.4,0.30328751365593254,0.06433304141321566,0.0511,0.6634,15561,green areas
909.6,0.3030115802326327,0.0639646327774365,0.051,0.6597,15561,green areas
912.8,0.3027564295353768,0.06364335813464411,0.0509,0.6562,15561,green areas
915.99,0.30243082706766883,0.0632118250740621,0.0508,0.652,15561,green areas
919.19,0.302021393226657,0.06264455127039008,0.0507,0.6468,15561,green areas
922.39,0.30156655741918925,0.062010284730601356,0.0505,0.6416,15561,green areas
925.58,0.30115849881113066,0.06147081039610587,0.0504,0.6394,15561,green areas
928.78,0.3007678362573098,0.06097402303727395,0.0503,0.638,15561,green areas
931.98,0.30032072488914385,0.0604531606730483,0.0502,0.638,15561,green areas
